Date,Open,High,Low,Close,Adj Close,Volume
2022-04-06,858.0,883.0,855.0,882.0,705.8383178710938,13328503
2022-04-07,858.0,872.0,850.0,850.0,680.229736328125,12287176
2022-04-08,851.0,859.0,834.0,840.0,672.2269897460938,12711666
2022-04-11,839.0,847.0,832.0,836.0,669.0259399414062,6163957
2022-04-12,840.0,848.0,830.0,842.0,673.8275146484375,7748278
2022-04-13,849.0,882.0,847.0,880.0,704.23779296875,10111374
2022-04-14,874.0,874.0,861.0,861.0,689.0326538085938,6220281
2022-04-15,851.0,852.0,831.0,832.0,665.8247680664062,7092675
2022-04-18,827.0,844.0,827.0,833.0,666.6251220703125,3933699
2022-04-19,855.0,862.0,838.0,838.0,670.62646484375,6253901
2022-04-20,847.0,856.0,841.0,856.0,685.03125,5489289
2022-04-21,854.0,872.0,850.0,868.0,694.634521484375,4505663
2022-04-22,848.0,857.0,846.0,854.0,683.4307250976562,5736473
2022-04-25,833.0,838.0,831.0,837.0,669.826171875,5934807
2022-04-26,833.0,837.0,825.0,833.0,666.6251220703125,6976630
2022-04-27,806.0,816.0,797.0,808.0,646.6183471679688,8488189
2022-04-28,835.0,853.0,821.0,828.0,662.6237182617188,12449177
2022-04-29,850.0,850.0,830.0,830.0,664.2243041992188,6664286
2022-05-03,830.0,833.0,808.0,820.0,656.2215576171875,8296427
2022-05-04,829.0,835.0,825.0,829.0,663.4240112304688,3551729
2022-05-05,843.0,848.0,837.0,841.0,673.0272827148438,5091069
2022-05-06,809.0,834.0,808.0,834.0,667.4253540039062,5655744
2022-05-09,821.0,827.0,813.0,813.0,650.6196899414062,3073344
2022-05-10,801.0,824.0,801.0,820.0,656.2215576171875,5843583
2022-05-11,814.0,831.0,813.0,829.0,663.4240112304688,3755757
2022-05-12,828.0,835.0,820.0,820.0,656.2215576171875,4101437
2022-05-13,831.0,845.0,828.0,843.0,674.6278076171875,4569731
2022-05-16,849.0,858.0,825.0,825.0,660.2229614257812,4950541
2022-05-17,838.0,847.0,830.0,841.0,673.0272827148438,4006249
2022-05-18,854.0,855.0,845.0,855.0,684.2310791015625,5390518
2022-05-19,839.0,847.0,835.0,845.0,676.2283325195312,4799600
2022-05-20,841.0,850.0,836.0,846.0,677.028564453125,3499866
2022-05-23,854.0,857.0,843.0,843.0,674.6278076171875,3192724
2022-05-24,848.0,848.0,830.0,830.0,664.2243041992188,2917189
2022-05-25,833.0,848.0,826.0,843.0,674.6278076171875,3229937
2022-05-26,849.0,849.0,832.0,833.0,666.6251220703125,3458958
2022-05-27,842.0,852.0,838.0,851.0,681.0299072265625,3283990
2022-05-30,865.0,878.0,864.0,878.0,702.63720703125,5134164
2022-05-31,876.0,905.0,867.0,905.0,724.2445678710938,10189792
2022-06-01,903.0,912.0,896.0,905.0,724.2445678710938,5234259
2022-06-02,899.0,906.0,897.0,898.0,718.6426391601562,3858451
2022-06-06,896.0,912.0,890.0,905.0,724.2445678710938,5605415
2022-06-07,900.0,901.0,890.0,890.0,712.240478515625,5521169
2022-06-08,903.0,933.0,900.0,930.0,744.2512817382812,10296010
2022-06-09,927.0,935.0,920.0,924.0,739.44970703125,5894187
2022-06-10,915.0,934.0,914.0,930.0,744.2512817382812,4826273
2022-06-13,902.0,907.0,885.0,887.0,709.8396606445312,8704050
2022-06-14,870.0,882.0,866.0,880.0,704.23779296875,6417629
